Value0_mean,Value1_mean,Value2_mean,l2_norm_mean,Value0_rms,Value1_rms,Value2_rms,l2_norm_rms,Value0_max,Value1_max,Value2_max,l2_norm_max,Value0_std,Value1_std,Value2_std,l2_norm_std,Value0_min,Value1_min,Value2_min,l2_norm_min,Value0_kurt,Value1_kurt,Value2_kurt,l2_norm_kurt,Value0_skew,Value1_skew,Value2_skew,l2_norm_skew,Value0_energy,Value1_energy,Value2_energy,l2_norm_energy,Value0_median,Value1_median,Value2_median,l2_norm_median,Value0_negtiveCount,Value1_negtiveCount,Value2_negtiveCount,l2_norm_negtiveCount,Value0_positaveCount,Value1_positaveCount,Value2_positaveCount,l2_norm_positaveCount,Value0_avgAbsoluteDiff,Value1_avgAbsoluteDiff,Value2_avgAbsoluteDiff,l2_norm_avgAbsoluteDiff,Value0_meadianAbsDiff,Value1_meadianAbsDiff,Value2_meadianAbsDiff,l2_norm_meadianAbsDiff,Value0_ValuesAboveMean,Value1_ValuesAboveMean,Value2_ValuesAboveMean,l2_norm_ValuesAboveMean,Value0_numberPeaks,Value1_numberPeaks,Value2_numberPeaks,l2_norm_numberPeaks,Class
-0.003139826,0.005436258,-0.002772035,0.014777189,0.009306081,0.010037685,0.009765232,0.016814221,0.041095468,0.042824494,0.048145612,0.076424961,0.008760402,0.00843814,0.009363523,0.008022014,-0.022904532,-0.013175506,-0.027854388,0.004967336,2.660489766,2.055845955,5.691314357,20.0588743,0.494968163,0.825722378,1.521758836,3.343508356,0.014722535,0.01712837,0.016211157,0.048062062,-0.002904532,0.006824494,-0.007854388,0.012873131,124,71,116,0,46,99,54,170,0.006065052,0.00665218,0.007077093,0.005349336,0.004,0.004,0.004,0.003505454,117,99,54,63,48,51,44,56,3
0.001118997,0.004824494,-0.001901446,0.013285897,0.007441052,0.009263742,0.007981692,0.014314104,0.025095468,0.026824494,0.020145612,0.031720625,0.007356432,0.007908298,0.007751897,0.005327148,-0.018904532,-0.017175506,-0.015854388,0.004967336,0.082486642,0.901429646,-0.123370414,1.458263607,-0.320713561,0.175830399,0.78880997,1.161651973,0.009412772,0.014588876,0.010830258,0.034831906,0.001095468,0.006824494,-0.003854388,0.012074798,85,73,111,0,85,97,59,170,0.006423529,0.006494118,0.006550311,0.004023001,0.004,0.006,0.004,0.002638856,85,94,59,68,52,49,50,58,3
-0.000339826,0.004236258,-0.001336741,0.013696749,0.007775308,0.009776315,0.008212693,0.01494925,0.017095468,0.038824494,0.036145612,0.044780009,0.007767878,0.008810814,0.008103176,0.005989921,-0.018904532,-0.017175506,-0.015854388,0.004967336,-0.212884664,1.21347022,1.949301386,5.636526129,-0.43775059,-0.118236279,1.070740063,1.757797951,0.01027742,0.016247977,0.011466216,0.037991613,-0.002904532,0.006824494,-0.003854388,0.012170513,99,73,102,0,71,97,68,170,0.006422422,0.007205536,0.006785882,0.004348522,0.008,0.004,0.004,0.003393718,71,96,68,70,44,47,48,56,3
-0.000575121,0.005130376,-0.000513211,0.013484585,0.007187318,0.009993711,0.007810621,0.01457867,0.017095468,0.030824494,0.020145612,0.03639666,0.007164271,0.008576333,0.007793742,0.005541081,-0.018904532,-0.017175506,-0.015854388,0.004967336,-0.29745283,0.529111045,-0.604168434,2.526958858,-0.07302533,0.238651261,0.518217601,1.280044985,0.008781783,0.016978623,0.010370987,0.036131393,-0.002904532,0.006824494,-0.003854388,0.012569398,106,73,96,0,64,97,74,170,0.005963737,0.007042768,0.007020623,0.004050633,0.004,0.008,0.004,0.00304219,64,96,74,78,45,43,49,49,3
0.000154291,0.005695082,-0.001666152,0.013674458,0.007444484,0.009793433,0.007974189,0.014660128,0.017095468,0.026824494,0.024145612,0.033672473,0.007442885,0.007967269,0.007798181,0.005284749,-0.018904532,-0.017175506,-0.015854388,0.004967336,-0.074428339,0.912275879,-0.318784347,2.769989775,-0.438560998,0.039544458,0.572195873,1.436198143,0.009421459,0.016304926,0.010809907,0.036536292,-0.002904532,0.006824494,-0.003854388,0.012615567,94,62,105,0,76,108,65,170,0.006300346,0.006302561,0.006797232,0.003740349,0.008,0.004,0.004,0.002091984,76,106,65,78,47,50,49,56,3
1.31E-05,0.004895082,-0.001195564,0.012886922,0.007511903,0.008496596,0.008053207,0.013909528,0.013095468,0.026824494,0.024145612,0.040827829,0.007511891,0.006944805,0.007963967,0.005234712,-0.018904532,-0.013175506,-0.027854388,0.004967336,-0.139113829,0.572288399,0.294634239,4.539034007,-0.500856156,-0.215104058,0.418318439,1.508365831,0.009592876,0.012272664,0.011025205,0.032890745,-0.002904532,0.006824494,-0.003854388,0.012006563,98,65,101,0,72,105,69,170,0.006328581,0.005820346,0.006829896,0.003849221,0.008,0.004,0.004,0.002647908,72,103,69,72,45,47,53,56,3
0.000930762,0.0041892,-0.001219094,0.013156096,0.007413288,0.00911456,0.007663527,0.014027177,0.025095468,0.026824494,0.016145612,0.030928221,0.007354626,0.008094802,0.007565941,0.004866089,-0.018904532,-0.017175506,-0.027854388,0.004967336,0.120726903,0.59646094,-0.150694936,1.724262642,-0.217653898,-0.115935632,0.152355982,1.151932596,0.009342662,0.014122785,0.00998404,0.033449488,-0.002904532,0.006824494,-0.003854388,0.012182353,91,77,99,0,79,93,71,170,0.006364844,0.006742145,0.006598754,0.003599934,0.008,0.008,0.004,0.002234205,79,93,71,67,45,49,48,60,3
-0.000457473,0.00456567,-0.002207329,0.055245876,0.033755662,0.034854008,0.041397863,0.063781107,0.105095468,0.090824494,0.124145612,0.148127663,0.033752562,0.034553676,0.041338973,0.031873544,-0.082904532,-0.069175506,-0.119854388,0.008456331,0.512022888,-0.142721592,0.660225082,-0.241619231,0.384673887,0.304309753,-0.003950561,0.861037641,0.193705601,0.20651632,0.291343115,0.691565036,-0.002904532,-0.001175506,-0.007854388,0.045181616,89,88,90,0,81,82,80,170,0.025903391,0.027261453,0.031767474,0.026247614,0.016,0.02,0.024,0.018669331,81,82,80,65,36,34,35,45,3
0.000507232,0.004330376,-0.001948505,0.02976202,0.019567217,0.010444915,0.023325312,0.032187612,0.041095468,0.026824494,0.056145612,0.062634568,0.019560641,0.00950495,0.023243784,0.012258243,-0.046904532,-0.017175506,-0.055854388,0.004967336,-0.677182629,0.026450696,-0.476333256,-0.381906939,0.005083769,0.103815855,0.178048798,0.439301899,0.065088915,0.018546361,0.092491929,0.176127204,0.005095468,0.006824494,-0.007854388,0.028695428,83,79,96,0,87,91,74,170,0.016507958,0.00786436,0.019281938,0.009827041,0.012,0.008,0.016,0.008716913,87,90,74,76,31,48,25,45,3
1.31E-05,0.003577435,-0.000842623,0.022880786,0.009738002,0.008944039,0.020967577,0.02478838,0.029095468,0.026824494,0.040145612,0.05220621,0.009737993,0.008197426,0.020950639,0.009535901,-0.026904532,-0.017175506,-0.043854388,0.004967336,-0.070201121,0.639532449,-1.058889121,-0.121858847,-0.248986734,0.053089023,-0.1963799,0.509859941,0.016120876,0.01359929,0.074738679,0.104458845,-0.002904532,-0.001175506,0.004145612,0.022025385,91,86,84,0,79,84,86,170,0.008017716,0.006850104,0.018317509,0.007686553,0.008,0.008,0.016,0.00665589,79,82,86,80,49,48,29,50,3
